"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2013-02","Feb-2013","PC","Percentage","0","Units",,,1.98,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2013-03","Mar-2013","PC","Percentage","0","Units",,,1.96,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2013-04","Apr-2013","PC","Percentage","0","Units",,,1.76,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2013-05","May-2013","PC","Percentage","0","Units",,,1.93,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2013-06","Jun-2013","PC","Percentage","0","Units",,,2.3,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2013-07","Jul-2013","PC","Percentage","0","Units",,,2.58,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2013-08","Aug-2013","PC","Percentage","0","Units",,,2.74,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2013-09","Sep-2013","PC","Percentage","0","Units",,,2.81,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2013-10","Oct-2013","PC","Percentage","0","Units",,,2.62,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2013-11","Nov-2013","PC","Percentage","0","Units",,,2.72,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2013-12","Dec-2013","PC","Percentage","0","Units",,,2.9,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-01","Jan-2014","PC","Percentage","0","Units",,,2.86,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-02","Feb-2014","PC","Percentage","0","Units",,,2.71,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-03","Mar-2014","PC","Percentage","0","Units",,,2.72,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-04","Apr-2014","PC","Percentage","0","Units",,,2.71,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-05","May-2014","PC","Percentage","0","Units",,,2.56,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-06","Jun-2014","PC","Percentage","0","Units",,,2.6,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-07","Jul-2014","PC","Percentage","0","Units",,,2.54,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-08","Aug-2014","PC","Percentage","0","Units",,,2.42,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-09","Sep-2014","PC","Percentage","0","Units",,,2.53,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-10","Oct-2014","PC","Percentage","0","Units",,,2.3,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-11","Nov-2014","PC","Percentage","0","Units",,,2.33,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2014-12","Dec-2014","PC","Percentage","0","Units",,,2.21,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-01","Jan-2015","PC","Percentage","0","Units",,,1.88,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-02","Feb-2015","PC","Percentage","0","Units",,,1.98,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-03","Mar-2015","PC","Percentage","0","Units",,,2.04,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-04","Apr-2015","PC","Percentage","0","Units",,,1.94,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-05","May-2015","PC","Percentage","0","Units",,,2.2,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-06","Jun-2015","PC","Percentage","0","Units",,,2.36,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-07","Jul-2015","PC","Percentage","0","Units",,,2.32,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-08","Aug-2015","PC","Percentage","0","Units",,,2.17,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-09","Sep-2015","PC","Percentage","0","Units",,,2.17,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-10","Oct-2015","PC","Percentage","0","Units",,,2.07,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-11","Nov-2015","PC","Percentage","0","Units",,,2.26,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2015-12","Dec-2015","PC","Percentage","0","Units",,,2.24,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-01","Jan-2016","PC","Percentage","0","Units",,,2.09,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-02","Feb-2016","PC","Percentage","0","Units",,,1.78,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-03","Mar-2016","PC","Percentage","0","Units",,,1.89,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-04","Apr-2016","PC","Percentage","0","Units",,,1.81,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-05","May-2016","PC","Percentage","0","Units",,,1.81,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-06","Jun-2016","PC","Percentage","0","Units",,,1.64,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-07","Jul-2016","PC","Percentage","0","Units",,,1.5,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-08","Aug-2016","PC","Percentage","0","Units",,,1.56,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-09","Sep-2016","PC","Percentage","0","Units",,,1.63,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-10","Oct-2016","PC","Percentage","0","Units",,,1.76,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-11","Nov-2016","PC","Percentage","0","Units",,,2.14,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2016-12","Dec-2016","PC","Percentage","0","Units",,,2.49,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,2.43,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-02","Feb-2017","PC","Percentage","0","Units",,,2.42,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-03","Mar-2017","PC","Percentage","0","Units",,,2.48,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,2.3,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,2.3,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,2.19,,
